episode,steps_done,timestep,total_reward,loss
105,6130,166,80.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
106,6132,1,0.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
107,6138,5,0.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
108,6164,25,0.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
109,6172,7,10.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
110,6221,48,20.0,"tensor(0.5912, grad_fn=<SmoothL1LossBackward0>)"
111,6263,41,30.0,"tensor(0.4529, grad_fn=<SmoothL1LossBackward0>)"
112,6285,21,10.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
113,6293,7,0.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
114,6323,29,10.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
115,6353,29,20.0,"tensor(0.5929, grad_fn=<SmoothL1LossBackward0>)"
116,6375,21,10.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
117,6390,14,10.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
118,6418,27,10.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
119,6505,86,50.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
120,6534,28,0.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
121,6587,52,20.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
122,6777,189,100.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
123,6782,4,0.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
124,6808,25,0.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
125,6850,41,10.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
126,6886,35,20.0,"tensor(0.5930, grad_fn=<SmoothL1LossBackward0>)"
127,6892,5,0.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
128,6972,79,30.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
129,6981,8,0.0,"tensor(0.5921, grad_fn=<SmoothL1LossBackward0>)"
130,6989,7,0.0,"tensor(0.8892, grad_fn=<SmoothL1LossBackward0>)"
131,7088,98,30.0,"tensor(0.8876, grad_fn=<SmoothL1LossBackward0>)"
132,7183,94,60.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
133,7257,73,20.0,"tensor(1.1839, grad_fn=<SmoothL1LossBackward0>)"
134,7319,61,20.0,"tensor(0.5918, grad_fn=<SmoothL1LossBackward0>)"
135,7379,59,30.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
136,7439,59,60.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
137,7505,65,20.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
138,7521,15,10.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
139,7559,37,20.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
140,7592,32,10.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
141,7608,15,0.0,"tensor(0.5919, grad_fn=<SmoothL1LossBackward0>)"
142,7618,9,0.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
143,7626,7,0.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
144,7649,22,0.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
145,7674,24,10.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
146,7696,21,10.0,"tensor(0.5918, grad_fn=<SmoothL1LossBackward0>)"
147,7834,137,50.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
148,7846,11,0.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
149,7865,18,10.0,"tensor(0.8880, grad_fn=<SmoothL1LossBackward0>)"
150,7920,54,20.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
151,8009,88,30.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
152,8032,22,10.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
153,8104,71,50.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
154,8223,118,30.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
155,8242,18,0.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
156,8296,53,40.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
157,8304,7,10.0,"tensor(0.8874, grad_fn=<SmoothL1LossBackward0>)"
158,8377,72,20.0,"tensor(0.5927, grad_fn=<SmoothL1LossBackward0>)"
159,8381,3,0.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
160,8400,18,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
161,8551,150,50.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
162,8573,21,10.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
163,8589,15,0.0,"tensor(0.8882, grad_fn=<SmoothL1LossBackward0>)"
164,8671,81,30.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
165,8681,9,10.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
166,8686,4,0.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
167,8713,26,0.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
168,8765,51,20.0,"tensor(0.5916, grad_fn=<SmoothL1LossBackward0>)"
169,8787,21,20.0,"tensor(0.8869, grad_fn=<SmoothL1LossBackward0>)"
170,8848,60,20.0,"tensor(0.8866, grad_fn=<SmoothL1LossBackward0>)"
171,8883,34,10.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
172,8911,27,0.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
173,8972,60,20.0,"tensor(0.2971, grad_fn=<SmoothL1LossBackward0>)"
174,9161,188,40.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
175,9166,4,0.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
176,9216,49,20.0,"tensor(0.0012, grad_fn=<SmoothL1LossBackward0>)"
177,9243,26,0.0,"tensor(0.0013, grad_fn=<SmoothL1LossBackward0>)"
178,9289,45,40.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
179,9366,76,30.0,"tensor(0.8859, grad_fn=<SmoothL1LossBackward0>)"
180,9395,28,30.0,"tensor(0.5906, grad_fn=<SmoothL1LossBackward0>)"
181,9404,8,10.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
182,9472,67,30.0,"tensor(0.5919, grad_fn=<SmoothL1LossBackward0>)"
183,9525,52,30.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
