episode,steps_done,timestep,total_reward,loss
124,5502,9,0.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
125,5516,13,0.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
126,5538,21,10.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
127,5607,68,20.0,"tensor(0.4526, grad_fn=<SmoothL1LossBackward0>)"
128,5648,40,20.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
129,5657,8,20.0,"tensor(0.5917, grad_fn=<SmoothL1LossBackward0>)"
130,5712,54,10.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
131,5722,9,0.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
132,5794,71,50.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
133,5863,68,0.0,"tensor(0.8877, grad_fn=<SmoothL1LossBackward0>)"
134,5893,29,10.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
135,5898,4,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
136,6063,164,70.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
137,6071,7,0.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
138,6106,34,10.0,"tensor(0.8877, grad_fn=<SmoothL1LossBackward0>)"
139,6142,35,10.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
140,6347,204,70.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
141,6366,18,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
142,6395,28,0.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
143,6483,87,60.0,"tensor(1.0433, grad_fn=<SmoothL1LossBackward0>)"
144,6656,172,20.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
145,6668,11,0.0,"tensor(0.5917, grad_fn=<SmoothL1LossBackward0>)"
146,6731,62,30.0,"tensor(0.8876, grad_fn=<SmoothL1LossBackward0>)"
147,6787,55,30.0,"tensor(0.8881, grad_fn=<SmoothL1LossBackward0>)"
148,6927,139,30.0,"tensor(0.2973, grad_fn=<SmoothL1LossBackward0>)"
149,6947,19,0.0,"tensor(1.3373, grad_fn=<SmoothL1LossBackward0>)"
150,6973,25,10.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
151,6978,4,0.0,"tensor(0.0020, grad_fn=<SmoothL1LossBackward0>)"
152,7019,40,30.0,"tensor(0.8875, grad_fn=<SmoothL1LossBackward0>)"
153,7025,5,0.0,"tensor(0.5901, grad_fn=<SmoothL1LossBackward0>)"
154,7081,55,30.0,"tensor(0.2982, grad_fn=<SmoothL1LossBackward0>)"
155,7087,5,0.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
156,7176,88,10.0,"tensor(0.5903, grad_fn=<SmoothL1LossBackward0>)"
157,7188,11,0.0,"tensor(0.0021, grad_fn=<SmoothL1LossBackward0>)"
158,7243,54,20.0,"tensor(0.2980, grad_fn=<SmoothL1LossBackward0>)"
159,7290,46,30.0,"tensor(0.5934, grad_fn=<SmoothL1LossBackward0>)"
160,7307,16,0.0,"tensor(0.0018, grad_fn=<SmoothL1LossBackward0>)"
161,7377,69,20.0,"tensor(0.0020, grad_fn=<SmoothL1LossBackward0>)"
162,7404,26,0.0,"tensor(0.0015, grad_fn=<SmoothL1LossBackward0>)"
163,7425,20,10.0,"tensor(0.0013, grad_fn=<SmoothL1LossBackward0>)"
164,7433,7,0.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
165,7442,8,0.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
166,7506,63,30.0,"tensor(0.5918, grad_fn=<SmoothL1LossBackward0>)"
167,7560,53,20.0,"tensor(0.5924, grad_fn=<SmoothL1LossBackward0>)"
168,7568,7,0.0,"tensor(0.8880, grad_fn=<SmoothL1LossBackward0>)"
169,7680,111,50.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
170,7693,12,0.0,"tensor(0.4527, grad_fn=<SmoothL1LossBackward0>)"
171,7780,86,20.0,"tensor(0.0003, grad_fn=<SmoothL1LossBackward0>)"
172,7797,16,10.0,"tensor(1.1844, grad_fn=<SmoothL1LossBackward0>)"
173,7812,14,10.0,"tensor(0.5923, grad_fn=<SmoothL1LossBackward0>)"
174,7889,76,50.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
175,7897,7,0.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
176,7989,91,60.0,"tensor(0.5931, grad_fn=<SmoothL1LossBackward0>)"
177,7994,4,0.0,"tensor(0.8886, grad_fn=<SmoothL1LossBackward0>)"
178,8037,42,20.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
179,8042,4,10.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
180,8085,42,30.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
181,8124,38,20.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
182,8135,10,0.0,"tensor(0.5919, grad_fn=<SmoothL1LossBackward0>)"
183,8167,31,20.0,"tensor(0.5918, grad_fn=<SmoothL1LossBackward0>)"
184,8207,39,30.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
185,8417,209,30.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
186,8442,24,20.0,"tensor(0.8876, grad_fn=<SmoothL1LossBackward0>)"
187,8536,93,70.0,"tensor(0.8876, grad_fn=<SmoothL1LossBackward0>)"
188,8600,63,40.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
189,8676,75,65.0,"tensor(1.0439, grad_fn=<SmoothL1LossBackward0>)"
190,8689,12,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
191,8744,54,10.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
192,8757,12,0.0,"tensor(0.5916, grad_fn=<SmoothL1LossBackward0>)"
193,8784,26,0.0,"tensor(0.5917, grad_fn=<SmoothL1LossBackward0>)"
194,8828,43,20.0,"tensor(0.0016, grad_fn=<SmoothL1LossBackward0>)"
195,8863,34,0.0,"tensor(0.5914, grad_fn=<SmoothL1LossBackward0>)"
196,8904,40,50.0,"tensor(0.5916, grad_fn=<SmoothL1LossBackward0>)"
197,8977,72,40.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
198,8989,11,10.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
199,9038,48,30.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
200,9128,89,40.0,"tensor(0.8871, grad_fn=<SmoothL1LossBackward0>)"
201,9197,68,60.0,"tensor(0.8881, grad_fn=<SmoothL1LossBackward0>)"
202,9238,40,10.0,"tensor(0.2974, grad_fn=<SmoothL1LossBackward0>)"
203,9255,16,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
204,9263,7,0.0,"tensor(0.5924, grad_fn=<SmoothL1LossBackward0>)"
205,9270,6,0.0,"tensor(0.2971, grad_fn=<SmoothL1LossBackward0>)"
206,9290,19,0.0,"tensor(0.0017, grad_fn=<SmoothL1LossBackward0>)"
207,9308,17,0.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
208,9328,19,20.0,"tensor(0.0012, grad_fn=<SmoothL1LossBackward0>)"
209,9335,6,10.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
210,9415,79,60.0,"tensor(0.2959, grad_fn=<SmoothL1LossBackward0>)"
211,9577,161,60.0,"tensor(0.8880, grad_fn=<SmoothL1LossBackward0>)"
212,9607,29,20.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
213,9645,37,25.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
214,9734,88,30.0,"tensor(0.5913, grad_fn=<SmoothL1LossBackward0>)"
215,9829,94,30.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
216,9835,5,10.0,"tensor(0.5928, grad_fn=<SmoothL1LossBackward0>)"
217,9954,118,60.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
218,10041,86,10.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
219,10060,18,0.0,"tensor(0.8878, grad_fn=<SmoothL1LossBackward0>)"
220,10080,19,10.0,"tensor(0.5914, grad_fn=<SmoothL1LossBackward0>)"
221,10088,7,0.0,"tensor(0.5933, grad_fn=<SmoothL1LossBackward0>)"
222,10184,95,50.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
223,10229,44,10.0,"tensor(0.2973, grad_fn=<SmoothL1LossBackward0>)"
224,10280,50,40.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
225,10321,40,30.0,"tensor(0.5910, grad_fn=<SmoothL1LossBackward0>)"
226,10360,38,10.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
227,10366,5,0.0,"tensor(0.2973, grad_fn=<SmoothL1LossBackward0>)"
228,10373,6,10.0,"tensor(0.2977, grad_fn=<SmoothL1LossBackward0>)"
229,10401,27,0.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
230,10421,19,10.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
231,10467,45,30.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
232,10483,15,0.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
233,10503,19,0.0,"tensor(0.5917, grad_fn=<SmoothL1LossBackward0>)"
234,10514,10,0.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
235,10532,17,0.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
236,10571,38,10.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
237,10633,61,30.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
238,10736,102,30.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
239,10738,1,0.0,"tensor(0.5921, grad_fn=<SmoothL1LossBackward0>)"
240,10743,4,0.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
241,10934,190,30.0,"tensor(0.5915, grad_fn=<SmoothL1LossBackward0>)"
242,10990,55,20.0,"tensor(0.5925, grad_fn=<SmoothL1LossBackward0>)"
