episode,steps_done,timestep,total_reward,loss
97,4124,20,10.0,"tensor(0.5887, grad_fn=<SmoothL1LossBackward0>)"
98,4153,28,10.0,"tensor(0.2951, grad_fn=<SmoothL1LossBackward0>)"
99,4159,5,0.0,"tensor(0.5879, grad_fn=<SmoothL1LossBackward0>)"
100,4174,14,10.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
101,4217,42,30.0,"tensor(0.8815, grad_fn=<SmoothL1LossBackward0>)"
102,4254,36,20.0,"tensor(0.0017, grad_fn=<SmoothL1LossBackward0>)"
103,4259,4,0.0,"tensor(0.2983, grad_fn=<SmoothL1LossBackward0>)"
104,4309,49,30.0,"tensor(0.2942, grad_fn=<SmoothL1LossBackward0>)"
105,4329,19,0.0,"tensor(0.5869, grad_fn=<SmoothL1LossBackward0>)"
106,4344,14,20.0,"tensor(0.2974, grad_fn=<SmoothL1LossBackward0>)"
107,4417,72,20.0,"tensor(0.0020, grad_fn=<SmoothL1LossBackward0>)"
108,4471,53,20.0,"tensor(0.5887, grad_fn=<SmoothL1LossBackward0>)"
109,4480,8,0.0,"tensor(0.2971, grad_fn=<SmoothL1LossBackward0>)"
110,4730,249,100.0,"tensor(0.2946, grad_fn=<SmoothL1LossBackward0>)"
111,4822,91,20.0,"tensor(0.5890, grad_fn=<SmoothL1LossBackward0>)"
112,4842,19,20.0,"tensor(0.0019, grad_fn=<SmoothL1LossBackward0>)"
113,4963,120,90.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
114,5335,371,100.0,"tensor(0.2941, grad_fn=<SmoothL1LossBackward0>)"
115,5346,10,0.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
116,5412,65,50.0,"tensor(0.5912, grad_fn=<SmoothL1LossBackward0>)"
117,5770,357,90.0,"tensor(0.2956, grad_fn=<SmoothL1LossBackward0>)"
118,5791,20,10.0,"tensor(0.5903, grad_fn=<SmoothL1LossBackward0>)"
