episode,steps_done,timestep,total_reward,loss
124,6340,169,30.0,"tensor(0.9800, grad_fn=<SmoothL1LossBackward0>)"
125,6374,33,10.0,"tensor(0.2676, grad_fn=<SmoothL1LossBackward0>)"
126,6408,33,10.0,"tensor(0.9554, grad_fn=<SmoothL1LossBackward0>)"
127,6413,4,0.0,"tensor(0.0784, grad_fn=<SmoothL1LossBackward0>)"
128,6439,25,10.0,"tensor(0.8430, grad_fn=<SmoothL1LossBackward0>)"
129,6461,21,10.0,"tensor(0.0968, grad_fn=<SmoothL1LossBackward0>)"
130,6478,16,0.0,"tensor(0.1798, grad_fn=<SmoothL1LossBackward0>)"
131,6532,53,10.0,"tensor(0.4694, grad_fn=<SmoothL1LossBackward0>)"
132,6537,4,0.0,"tensor(1.0650, grad_fn=<SmoothL1LossBackward0>)"
133,6540,2,0.0,"tensor(0.9763, grad_fn=<SmoothL1LossBackward0>)"
134,6559,18,0.0,"tensor(0.1330, grad_fn=<SmoothL1LossBackward0>)"
135,6791,231,70.0,"tensor(0.0661, grad_fn=<SmoothL1LossBackward0>)"
136,6847,55,30.0,"tensor(0.0387, grad_fn=<SmoothL1LossBackward0>)"
137,6850,2,0.0,"tensor(0.0289, grad_fn=<SmoothL1LossBackward0>)"
138,6874,23,0.0,"tensor(0.0732, grad_fn=<SmoothL1LossBackward0>)"
139,6927,52,20.0,"tensor(2.0904, grad_fn=<SmoothL1LossBackward0>)"
140,6986,58,30.0,"tensor(0.1772, grad_fn=<SmoothL1LossBackward0>)"
141,7059,72,40.0,"tensor(0.5234, grad_fn=<SmoothL1LossBackward0>)"
142,7068,8,0.0,"tensor(0.2077, grad_fn=<SmoothL1LossBackward0>)"
143,7123,54,50.0,"tensor(0.9392, grad_fn=<SmoothL1LossBackward0>)"
144,7190,66,20.0,"tensor(2.1186, grad_fn=<SmoothL1LossBackward0>)"
145,7218,27,40.0,"tensor(0.0750, grad_fn=<SmoothL1LossBackward0>)"
146,7247,28,20.0,"tensor(0.8886, grad_fn=<SmoothL1LossBackward0>)"
147,7251,3,0.0,"tensor(0.0755, grad_fn=<SmoothL1LossBackward0>)"
148,7258,6,0.0,"tensor(1.8395, grad_fn=<SmoothL1LossBackward0>)"
149,7266,7,0.0,"tensor(0.9694, grad_fn=<SmoothL1LossBackward0>)"
150,7290,23,10.0,"tensor(0.1092, grad_fn=<SmoothL1LossBackward0>)"
151,7371,80,50.0,"tensor(1.0261, grad_fn=<SmoothL1LossBackward0>)"
152,7409,37,10.0,"tensor(0.1043, grad_fn=<SmoothL1LossBackward0>)"
153,7415,5,0.0,"tensor(0.9240, grad_fn=<SmoothL1LossBackward0>)"
154,7444,28,20.0,"tensor(0.0702, grad_fn=<SmoothL1LossBackward0>)"
155,7506,61,30.0,"tensor(0.1489, grad_fn=<SmoothL1LossBackward0>)"
156,7600,93,60.0,"tensor(0.8997, grad_fn=<SmoothL1LossBackward0>)"
157,7633,32,65.0,"tensor(0.0784, grad_fn=<SmoothL1LossBackward0>)"
158,7653,19,0.0,"tensor(1.8038, grad_fn=<SmoothL1LossBackward0>)"
159,7734,80,40.0,"tensor(0.4153, grad_fn=<SmoothL1LossBackward0>)"
160,7761,26,10.0,"tensor(0.0363, grad_fn=<SmoothL1LossBackward0>)"
161,7806,44,10.0,"tensor(0.4147, grad_fn=<SmoothL1LossBackward0>)"
162,7999,192,90.0,"tensor(1.6329, grad_fn=<SmoothL1LossBackward0>)"
163,8036,36,20.0,"tensor(1.3456, grad_fn=<SmoothL1LossBackward0>)"
