episode,steps_done,timestep,total_reward,loss
209,13149,63,50.0,"tensor(0.5226, grad_fn=<SmoothL1LossBackward0>)"
210,13181,31,0.0,"tensor(0.0016, grad_fn=<SmoothL1LossBackward0>)"
211,13204,22,0.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
212,13390,185,80.0,"tensor(0.7390, grad_fn=<SmoothL1LossBackward0>)"
213,13422,31,10.0,"tensor(0.1493, grad_fn=<SmoothL1LossBackward0>)"
214,13459,36,40.0,"tensor(0.4453, grad_fn=<SmoothL1LossBackward0>)"
215,13597,137,60.0,"tensor(0.1493, grad_fn=<SmoothL1LossBackward0>)"
216,13603,5,0.0,"tensor(0.4442, grad_fn=<SmoothL1LossBackward0>)"
217,13731,127,50.0,"tensor(0.5224, grad_fn=<SmoothL1LossBackward0>)"
218,13773,41,20.0,"tensor(0.5217, grad_fn=<SmoothL1LossBackward0>)"
219,13779,5,0.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
220,13803,23,0.0,"tensor(0.2959, grad_fn=<SmoothL1LossBackward0>)"
221,13849,45,20.0,"tensor(0.5909, grad_fn=<SmoothL1LossBackward0>)"
222,13921,71,10.0,"tensor(0.1484, grad_fn=<SmoothL1LossBackward0>)"
223,13941,19,20.0,"tensor(0.8863, grad_fn=<SmoothL1LossBackward0>)"
224,13951,9,10.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
225,13963,11,0.0,"tensor(0.0012, grad_fn=<SmoothL1LossBackward0>)"
226,14079,115,50.0,"tensor(0.3744, grad_fn=<SmoothL1LossBackward0>)"
227,14088,8,10.0,"tensor(0.6702, grad_fn=<SmoothL1LossBackward0>)"
228,14230,141,50.0,"tensor(0.5913, grad_fn=<SmoothL1LossBackward0>)"
229,14292,61,20.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
230,14320,27,0.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
231,14370,49,20.0,"tensor(0.1491, grad_fn=<SmoothL1LossBackward0>)"
232,14565,194,60.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
233,14605,39,40.0,"tensor(0.3749, grad_fn=<SmoothL1LossBackward0>)"
234,14610,4,10.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
